Attack_Type,Transport_Protocol,Total_Bytes_Sent,Total_Bytes_Received,Average_Duration_Seconds,Flow_Count
Benign,TCP,1162445523.0,785877845.0,0.9740953028585151,1061915
Benign,UDP,31644195.0,21208317.0,0.01673403664086524,445841
VulnerabilityScan,TCP,514082725.0,342685144.0,0.0,293075
DDoS-SynonymousIP_Flood,TCP,970761540.0,647172334.0,0.0,268617
DDoS-ICMP_Flood,ICMP,966691897.0,644457928.0,0.0,267783
DDoS-PSHACK_Flood,TCP,970937976.0,647288538.0,0.0,267768
DDoS-RSTFINFlood,TCP,972302337.0,648197893.0,0.0,266931
DDoS-UDP_Flood,UDP,963756739.0,642500185.0,0.0,266204
DDoS-SYN_Flood,TCP,972286803.0,648183716.0,0.0,265941
DDoS-TCP_Flood,TCP,971516675.0,647674141.0,0.0,265605
DoS-SYN_Flood,TCP,976220873.0,650806169.0,0.0,262683
DoS-TCP_Flood,TCP,976077374.0,650712317.0,0.0,260077
MITM-ArpSpoofing,TCP,602608952.0,401721083.0,0.0,169424
DoS-UDP_Flood,UDP,1064299524.0,709526759.0,0.0,166679
Recon-HostDiscovery,TCP,108416911.0,72268744.0,0.0,117309
DNS_Spoofing,TCP,309214811.0,206130999.0,0.0,108801
Recon-OSScan,TCP,176857478.0,117895288.0,0.0,90066
VulnerabilityScan,UDP,58955278.0,39293370.0,0.0,77405
MITM-ArpSpoofing,UDP,228093234.0,152052428.0,0.0,76535
Recon-PortScan,TCP,105146849.0,70090971.0,0.0,74285
DNS_Spoofing,UDP,117095842.0,78055937.0,0.0,68326
DoS-HTTP_Flood,TCP,1188754358.0,792497601.0,0.0,40652
Mirai-udpplain,UDP,1187167692.0,791442670.0,0.0,36143
Mirai-greip_flood,OTHER,1177566809.0,785039672.0,0.0,34750
Mirai-greeth_flood,OTHER,1159386692.0,772924010.0,0.0,32996
DDoS-HTTP_Flood-,TCP,337173256.0,224778353.0,0.0,28674
DDoS-ACK_Fragmentation,TCP,1201661475.0,801104651.0,0.0,24770
DDoS-SlowLoris,TCP,373761476.0,249171262.0,0.0,23209
DDoS-UDP_Fragmentation,UDP,1199915679.0,799941565.0,0.0,22280
DDoS-ICMP_Fragmentation,ICMP,1202050671.0,801363835.0,0.0,20423
Benign,ICMP,489387.0,91831.0,1.4834095881318916,18773
Recon-HostDiscovery,UDP,11554022.0,7700740.0,0.0,14314
DictionaryBruteForce,TCP,20551671.0,13699668.0,0.0,10879
Recon-OSScan,UDP,6983090.0,4654289.0,0.0,7807
Recon-PortScan,UDP,6561041.0,4372982.0,0.0,7646
BrowserHijacking,TCP,18751167.0,12500213.0,0.0,4929
CommandInjection,TCP,15357738.0,10238014.0,0.0,4112
SqlInjection,TCP,4440142.0,2959588.0,0.0,4019
Recon-HostDiscovery,OTHER,1483758.0,988873.0,0.0,2700
XSS,TCP,6044630.0,4029397.0,0.0,2698
VulnerabilityScan,OTHER,1631930.0,1087626.0,0.0,2647
Backdoor_Malware,TCP,5078502.0,3385387.0,0.0,2261
DictionaryBruteForce,UDP,1378016.0,918396.0,0.0,2025
Recon-PingSweep,TCP,4106304.0,2737314.0,0.0,1704
DNS_Spoofing,OTHER,1043083.0,695163.0,0.0,1685
MITM-ArpSpoofing,OTHER,952507.0,634813.0,0.0,1543
CommandInjection,UDP,1062847.0,708420.0,0.0,1199
SqlInjection,UDP,847329.0,564720.0,0.0,1184
XSS,UDP,921974.0,614500.0,0.0,1073
Backdoor_Malware,UDP,804989.0,536547.0,0.0,906
BrowserHijacking,UDP,1548775.0,1032412.0,0.0,850
Uploading_Attack,TCP,1444385.0,962830.0,0.0,780
Benign,OTHER,456790.0,304445.0,0.0,683
Mirai-greeth_flood,TCP,36668172.0,24445376.0,0.0,594
Uploading_Attack,UDP,365254.0,243467.0,0.0,431
DDoS-UDP_Flood,TCP,8927507.0,5951630.0,0.0,397
Mirai-udpplain,TCP,6388261.0,4258794.0,0.0,332
DDoS-ACK_Fragmentation,UDP,2699062.0,1799331.0,0.0,316
Recon-PortScan,OTHER,180740.0,120451.0,0.0,310
Mirai-greip_flood,TCP,10114963.0,6743257.0,0.0,302
Recon-OSScan,OTHER,188195.0,125429.0,0.0,291
Recon-PingSweep,OTHER,136697.0,91100.0,0.0,283
Recon-PingSweep,UDP,220157.0,146742.0,0.0,270
DDoS-UDP_Fragmentation,TCP,6870865.0,4580550.0,0.0,257
VulnerabilityScan,ICMP,215557.0,143666.0,0.0,224
DDoS-SlowLoris,UDP,7928813.0,5285853.0,0.0,216
DDoS-ICMP_Flood,TCP,4352169.0,2901424.0,0.0,207
MITM-ArpSpoofing,ICMP,190606.0,127048.0,0.0,204
